Tag,Name,Unit,Value Type,Unique Values (Real),Missing Values (%) (Real),Missing Values (%) (Label 3 - WELL-00014 - Instance 1077),Missing Values (%) (Label 3 - WELL-00014 - Instance 1055),Missing Values (%) (Label 3 - WELL-00001 - Instance 1059),Missing Values (%) (Label 3 - WELL-00014 - Instance 1064),Missing Values (%) (Label 3 - WELL-00014 - Instance 1073),Missing Values (%) (Label 3 - WELL-00014 - Instance 1069),Missing Values (%) (Label 3 - WELL-00014 - Instance 1060),Missing Values (%) (Label 3 - WELL-00014 - Instance 1085),Missing Values (%) (Label 3 - WELL-00014 - Instance 1083),Missing Values (%) (Label 3 - WELL-00014 - Instance 1071),Missing Values (%) (Label 3 - WELL-00014 - Instance 1074),Missing Values (%) (Label 3 - WELL-00014 - Instance 1054),Missing Values (%) (Label 3 - WELL-00014 - Instance 1075),Missing Values (%) (Label 3 - WELL-00014 - Instance 1066),Missing Values (%) (Label 3 - WELL-00014 - Instance 1079),Missing Values (%) (Label 3 - WELL-00014 - Instance 1068),Missing Values (%) (Label 3 - WELL-00014 - Instance 1084),Missing Values (%) (Label 3 - WELL-00014 - Instance 1056),Missing Values (%) (Label 3 - WELL-00014 - Instance 1062),Missing Values (%) (Label 3 - WELL-00014 - Instance 1058),Missing Values (%) (Label 3 - WELL-00014 - Instance 1080),Missing Values (%) (Label 3 - WELL-00014 - Instance 1063),Missing Values (%) (Label 3 - WELL-00014 - Instance 1076),Missing Values (%) (Label 3 - WELL-00014 - Instance 1082),Missing Values (%) (Label 3 - WELL-00014 - Instance 1081),Missing Values (%) (Label 3 - WELL-00014 - Instance 1065),Missing Values (%) (Label 3 - WELL-00014 - Instance 1078),Missing Values (%) (Label 3 - WELL-00014 - Instance 1072),Missing Values (%) (Label 3 - WELL-00014 - Instance 1070),Missing Values (%) (Label 3 - WELL-00014 - Instance 1057),Missing Values (%) (Label 3 - WELL-00014 - Instance 1061),Missing Values (%) (Label 3 - WELL-00014 - Instance 1067)
ABER-CKGL,Opening of the GLCK (gas lift choke),%,Continuous,300484,74.2,0.0,2.5,100.0,2.3,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
ABER-CKP,Opening of the PCK (production choke),%,Continuous,850210,62.5,0.0,2.5,100.0,2.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
ESTADO-DHSV,State of the DHSV (downhole safety valve),"[0, 0.5, 1]",Categorical,2,57.8,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ESTADO-M1,State of the PMV (production master valve),"[0, 0.5, 1]",Categorical,2,45.9,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ESTADO-PXO,State of the PXO (pig-crossover) valve,"[0, 0.5, 1]",Categorical,2,44.7,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ESTADO-M2,State of the AMV (annulus master valve),"[0, 0.5, 1]",Categorical,3,46.2,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ESTADO-SDV-GL,State of the gas lift SDV (shutdown valve),"[0, 0.5, 1]",Categorical,2,48.0,0.0,2.5,0.0,2.5,0.1,0.0,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
ESTADO-SDV-P,State of the production SDV (shutdown valve),"[0, 0.5, 1]",Categorical,2,26.0,0.0,2.5,0.0,2.4,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.5
ESTADO-W1,State of the PWV (production wing valve),"[0, 0.5, 1]",Categorical,2,42.4,0.0,2.5,0.0,2.3,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
ESTADO-W2,State of the AWV (annulus wing valve),"[0, 0.5, 1]",Categorical,3,44.3,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
