Tag,Name,Unit,Value Type,Unique Values (Real),Missing Values (%) (Real),Missing Values (%) (Label 7 - WELL-00022 - Instance 656),Missing Values (%) (Label 7 - WELL-00024 - Instance 654),Missing Values (%) (Label 7 - WELL-00024 - Instance 653),Missing Values (%) (Label 7 - WELL-00024 - Instance 655),Missing Values (%) (Label 7 - WELL-00024 - Instance 652),Missing Values (%) (Label 7 - WELL-00024 - Instance 651),Missing Values (%) (Label 7 - WELL-00024 - Instance 662),Missing Values (%) (Label 7 - WELL-00006 - Instance 661),Missing Values (%) (Label 7 - WELL-00024 - Instance 659),Missing Values (%) (Label 7 - WELL-00024 - Instance 664),Missing Values (%) (Label 7 - WELL-00024 - Instance 658),Missing Values (%) (Label 7 - WELL-00021 - Instance 657),Missing Values (%) (Label 7 - WELL-00023 - Instance 663),Missing Values (%) (Label 7 - WELL-00024 - Instance 660),Missing Values (%) (Label 7 - WELL-00023 - Instance 665),Missing Values (%) (Label 7 - WELL-00024 - Instance 675),Missing Values (%) (Label 7 - WELL-00022 - Instance 671),Missing Values (%) (Label 7 - WELL-00021 - Instance 673),Missing Values (%) (Label 7 - WELL-00024 - Instance 668),Missing Values (%) (Label 7 - WELL-00022 - Instance 672),Missing Values (%) (Label 7 - WELL-00022 - Instance 670),Missing Values (%) (Label 7 - WELL-00022 - Instance 674),Missing Values (%) (Label 7 - WELL-00001 - Instance 666),Missing Values (%) (Label 7 - WELL-00024 - Instance 667),Missing Values (%) (Label 7 - WELL-00024 - Instance 669),Missing Values (%) (Label 7 - WELL-00024 - Instance 677),Missing Values (%) (Label 7 - WELL-00023 - Instance 686),Missing Values (%) (Label 7 - WELL-00022 - Instance 678),Missing Values (%) (Label 7 - WELL-00022 - Instance 683),Missing Values (%) (Label 7 - WELL-00022 - Instance 682),Missing Values (%) (Label 7 - WELL-00024 - Instance 684),Missing Values (%) (Label 7 - WELL-00006 - Instance 679),Missing Values (%) (Label 7 - WELL-00024 - Instance 681),Missing Values (%) (Label 7 - WELL-00024 - Instance 680),Missing Values (%) (Label 7 - WELL-00023 - Instance 685),Missing Values (%) (Label 7 - WELL-00024 - Instance 676)
ABER-CKGL,Opening of the GLCK (gas lift choke),%,Continuous,300484,74.2,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
ABER-CKP,Opening of the PCK (production choke),%,Continuous,850210,62.5,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
ESTADO-DHSV,State of the DHSV (downhole safety valve),"[0, 0.5, 1]",Categorical,2,57.8,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.3,100.0,100.0,100.0,100.0
ESTADO-M1,State of the PMV (production master valve),"[0, 0.5, 1]",Categorical,2,45.9,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.3,100.0,100.0,100.0,100.0
ESTADO-PXO,State of the PXO (pig-crossover) valve,"[0, 0.5, 1]",Categorical,2,44.7,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.3,100.0,100.0,100.0,100.0
ESTADO-M2,State of the AMV (annulus master valve),"[0, 0.5, 1]",Categorical,3,46.2,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.3,100.0,100.0,100.0,100.0
ESTADO-SDV-GL,State of the gas lift SDV (shutdown valve),"[0, 0.5, 1]",Categorical,2,48.0,100.0,0.0,0.1,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,20.4,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.3,0.0,20.0,100.0,0.1
ESTADO-SDV-P,State of the production SDV (shutdown valve),"[0, 0.5, 1]",Categorical,2,26.0,0.0,0.0,0.1,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.1
ESTADO-W1,State of the PWV (production wing valve),"[0, 0.5, 1]",Categorical,2,42.4,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.3,100.0,100.0,100.0,100.0
ESTADO-W2,State of the AWV (annulus wing valve),"[0, 0.5, 1]",Categorical,3,44.3,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.3,100.0,100.0,100.0,100.0
