Tag,Name,Unit,Value Type,Unique Values (Real),Missing Values (%) (Real),Missing Values (%) (Label 9 - WELL-00034 - Instance 19),Missing Values (%) (Label 9 - WELL-00035 - Instance 0),Missing Values (%) (Label 9 - WELL-00016 - Instance 7),Missing Values (%) (Label 9 - WELL-00014 - Instance 6),Missing Values (%) (Label 9 - WELL-00010 - Instance 9),Missing Values (%) (Label 9 - WELL-00033 - Instance 17),Missing Values (%) (Label 9 - WELL-00035 - Instance 5),Missing Values (%) (Label 9 - WELL-00042 - Instance 1),Missing Values (%) (Label 9 - WELL-00033 - Instance 10),Missing Values (%) (Label 9 - WELL-00014 - Instance 3),Missing Values (%) (Label 9 - WELL-00020 - Instance 12),Missing Values (%) (Label 9 - WELL-00041 - Instance 8),Missing Values (%) (Label 9 - WELL-00016 - Instance 11),Missing Values (%) (Label 9 - WELL-00041 - Instance 2),Missing Values (%) (Label 9 - WELL-00037 - Instance 4),Missing Values (%) (Label 9 - WELL-00010 - Instance 13),Missing Values (%) (Label 9 - WELL-00042 - Instance 18),Missing Values (%) (Label 9 - WELL-00010 - Instance 14),Missing Values (%) (Label 9 - WELL-00033 - Instance 15),Missing Values (%) (Label 9 - WELL-00037 - Instance 16),Missing Values (%) (Label 9 - WELL-00034 - Instance 26),Missing Values (%) (Label 9 - WELL-00037 - Instance 29),Missing Values (%) (Label 9 - WELL-00033 - Instance 54),Missing Values (%) (Label 9 - WELL-00039 - Instance 22),Missing Values (%) (Label 9 - WELL-00033 - Instance 34),Missing Values (%) (Label 9 - WELL-00041 - Instance 50),Missing Values (%) (Label 9 - WELL-00039 - Instance 32),Missing Values (%) (Label 9 - WELL-00041 - Instance 43),Missing Values (%) (Label 9 - WELL-00016 - Instance 31),Missing Values (%) (Label 9 - WELL-00034 - Instance 39),Missing Values (%) (Label 9 - WELL-00033 - Instance 25),Missing Values (%) (Label 9 - WELL-00015 - Instance 27),Missing Values (%) (Label 9 - WELL-00041 - Instance 51),Missing Values (%) (Label 9 - WELL-00042 - Instance 56),Missing Values (%) (Label 9 - WELL-00035 - Instance 52),Missing Values (%) (Label 9 - WELL-00035 - Instance 41),Missing Values (%) (Label 9 - WELL-00041 - Instance 28),Missing Values (%) (Label 9 - WELL-00014 - Instance 33),Missing Values (%) (Label 9 - WELL-00036 - Instance 48),Missing Values (%) (Label 9 - WELL-00041 - Instance 44),Missing Values (%) (Label 9 - WELL-00036 - Instance 37),Missing Values (%) (Label 9 - WELL-00041 - Instance 55),Missing Values (%) (Label 9 - WELL-00041 - Instance 49),Missing Values (%) (Label 9 - WELL-00037 - Instance 35),Missing Values (%) (Label 9 - WELL-00035 - Instance 36),Missing Values (%) (Label 9 - WELL-00034 - Instance 21),Missing Values (%) (Label 9 - WELL-00040 - Instance 38),Missing Values (%) (Label 9 - WELL-00035 - Instance 30),Missing Values (%) (Label 9 - WELL-00036 - Instance 42),Missing Values (%) (Label 9 - WELL-00034 - Instance 23),Missing Values (%) (Label 9 - WELL-00038 - Instance 46),Missing Values (%) (Label 9 - WELL-00010 - Instance 20),Missing Values (%) (Label 9 - WELL-00042 - Instance 40),Missing Values (%) (Label 9 - WELL-00010 - Instance 45),Missing Values (%) (Label 9 - WELL-00034 - Instance 47),Missing Values (%) (Label 9 - WELL-00042 - Instance 53),Missing Values (%) (Label 9 - WELL-00038 - Instance 24)
ABER-CKGL,Opening of the GLCK (gas lift choke),%,Continuous,300484,74.2,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.1,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0
ABER-CKP,Opening of the PCK (production choke),%,Continuous,850210,62.5,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.1,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0
ESTADO-DHSV,State of the DHSV (downhole safety valve),"[0, 0.5, 1]",Categorical,2,57.8,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0
ESTADO-M1,State of the PMV (production master valve),"[0, 0.5, 1]",Categorical,2,45.9,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0
ESTADO-PXO,State of the PXO (pig-crossover) valve,"[0, 0.5, 1]",Categorical,2,44.7,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0
ESTADO-M2,State of the AMV (annulus master valve),"[0, 0.5, 1]",Categorical,3,46.2,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0
ESTADO-SDV-GL,State of the gas lift SDV (shutdown valve),"[0, 0.5, 1]",Categorical,2,48.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
ESTADO-SDV-P,State of the production SDV (shutdown valve),"[0, 0.5, 1]",Categorical,2,26.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
ESTADO-W1,State of the PWV (production wing valve),"[0, 0.5, 1]",Categorical,2,42.4,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0
ESTADO-W2,State of the AWV (annulus wing valve),"[0, 0.5, 1]",Categorical,3,44.3,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0
P-ANULAR,Pressure in the well annulus,Pa,Continuous,1496311,22.5,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.1,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0
