feature,importance
ABER-CKGL_missing,3.787232006136506e-07
ABER-CKP_missing,0.0
ESTADO-DHSV_missing,0.008318857776519244
ESTADO-M1_missing,0.0
ESTADO-PXO_missing,0.0
ESTADO-M2_missing,0.0
ESTADO-SDV-GL_missing,0.0
ESTADO-SDV-P_missing,0.0
ESTADO-W1_missing,0.0
ESTADO-W2_missing,0.0
P-ANULAR_missing,0.0012565083744060634
ESTADO-XO_missing,0.0
P-JUS-CKGL_missing,0.0
P-MON-CKP_missing,0.0
P-JUS-CKP_missing,0.0
P-MON-CKGL_missing,0.0
P-PDG_missing,0.0
P-TPT_missing,0.0
QGL_missing,0.0
T-JUS-CKP_missing,0.0
T-MON-CKP_missing,0.0
T-PDG_missing,0.0
T-TPT_missing,0.0
ABER-CKGL,0.2432530523232806
ABER-CKP,0.1450534729566656
ESTADO-DHSV,0.0
ESTADO-M1,0.0
ESTADO-PXO,0.0
ESTADO-M2,0.00298966784023978
ESTADO-SDV-GL,0.0
ESTADO-SDV-P,0.0
ESTADO-W1,0.0
ESTADO-W2,1.1295372251634345e-12
P-ANULAR,0.05081734323076354
ESTADO-XO,0.0
P-JUS-CKGL,0.17111670228189277
P-MON-CKP,0.05138054720854588
P-JUS-CKP,0.0
P-MON-CKGL,0.0
P-PDG,0.0
P-TPT,0.021266302523471496
QGL,0.08416730243103122
T-JUS-CKP,0.0528582343799904
T-MON-CKP,0.0
T-PDG,0.0
T-TPT,0.1675216299488632
