feature,importance
ABER-CKGL,0.011853704713226044
ABER-CKP,0.10921598050373764
ESTADO-DHSV,0.00011272430980338257
ESTADO-M1,0.0072933405208949545
ESTADO-PXO,0.007074130126500588
ESTADO-M2,0.0
ESTADO-SDV-GL,7.380624924044342e-05
ESTADO-SDV-P,0.02742520161702956
ESTADO-W1,0.16078010983914473
ESTADO-W2,0.0
P-ANULAR,0.10455469622765715
ESTADO-XO,0.013332141525011727
P-JUS-CKGL,0.04139508814758105
P-MON-CKP,0.04852979192871867
P-JUS-CKP,0.07699200299049694
P-MON-CKGL,1.0102741840364091e-16
P-PDG,5.073312631471308e-08
P-TPT,0.05381599220249458
QGL,0.1272928800714809
T-JUS-CKP,0.0
T-MON-CKP,0.15601403493005958
T-PDG,0.0
T-TPT,0.054244323363795574
