feature,importance
ABER-CKGL,0.0003538638801194323
ABER-CKP,0.17143970842385406
ESTADO-DHSV,0.0004253722684918927
ESTADO-M1,0.0
ESTADO-PXO,0.0
ESTADO-M2,0.0
ESTADO-SDV-GL,0.0
ESTADO-SDV-P,0.0
ESTADO-W1,0.0
ESTADO-W2,0.0
P-ANULAR,0.13906312570080884
ESTADO-XO,0.0
P-JUS-CKGL,0.1787910526922912
P-MON-CKP,0.08691939283491368
P-JUS-CKP,0.0
P-MON-CKGL,0.0
P-PDG,0.006081913140425336
P-TPT,0.11906208099629365
QGL,0.027939700319030952
T-JUS-CKP,0.19086154276330508
T-MON-CKP,0.0
T-PDG,0.0
T-TPT,0.07906224698046573
