feature,importance
ABER-CKGL,0.24325343104787464
ABER-CKP,0.14505347295677784
ESTADO-DHSV,0.0
ESTADO-M1,0.0
ESTADO-PXO,0.0
ESTADO-M2,0.01130852561676776
ESTADO-SDV-GL,0.0
ESTADO-SDV-P,0.0
ESTADO-W1,0.0
ESTADO-W2,1.1295372251643075e-12
P-ANULAR,0.05206793459363725
ESTADO-XO,0.0
P-JUS-CKGL,0.17111687331729236
P-MON-CKP,0.051380547208585606
P-JUS-CKP,0.0
P-MON-CKGL,0.0
P-PDG,5.745976304822383e-06
P-TPT,0.021266302523487983
QGL,0.08416730243109624
T-JUS-CKP,0.05285823438003126
T-MON-CKP,0.0
T-PDG,0.0
T-TPT,0.16752162994701475
