feature,importance
ABER-CKGL_missing,0.0
ABER-CKP_missing,0.0
ESTADO-DHSV_missing,4.529586510364603e-08
ESTADO-M1_missing,0.0
ESTADO-PXO_missing,0.0
ESTADO-M2_missing,0.0
ESTADO-SDV-GL_missing,0.0
ESTADO-SDV-P_missing,0.0
ESTADO-W1_missing,0.0
ESTADO-W2_missing,0.0
P-ANULAR_missing,0.0
ESTADO-XO_missing,0.0
P-JUS-CKGL_missing,0.0
P-MON-CKP_missing,0.0
P-JUS-CKP_missing,0.0
P-MON-CKGL_missing,0.0
P-PDG_missing,0.0
P-TPT_missing,0.0
QGL_missing,0.0
T-JUS-CKP_missing,0.0
T-MON-CKP_missing,0.0
T-PDG_missing,0.0
T-TPT_missing,0.0
ABER-CKGL,0.04406987167603738
ABER-CKP,0.17535371601735092
ESTADO-DHSV,0.0
ESTADO-M1,0.0
ESTADO-PXO,0.0
ESTADO-M2,0.0
ESTADO-SDV-GL,0.0
ESTADO-SDV-P,0.0
ESTADO-W1,0.0
ESTADO-W2,0.017045917507270966
P-ANULAR,0.20004889979111956
ESTADO-XO,0.0
P-JUS-CKGL,0.16945177035862596
P-MON-CKP,0.06891141567601763
P-JUS-CKP,0.0
P-MON-CKGL,0.0
P-PDG,0.0
P-TPT,0.1229787838688254
QGL,0.001175442568351426
T-JUS-CKP,0.027709523661503054
T-MON-CKP,0.0
T-PDG,4.673525156612982e-08
T-TPT,0.17325456684378096
