feature,importance
ABER-CKGL_missing,0.0
ABER-CKP_missing,0.0027786529427253387
ESTADO-DHSV_missing,0.0
ESTADO-M1_missing,0.0
ESTADO-PXO_missing,0.009863420391321558
ESTADO-M2_missing,0.029944262552121122
ESTADO-SDV-GL_missing,0.0
ESTADO-SDV-P_missing,0.14743086894795682
ESTADO-W1_missing,0.0
ESTADO-W2_missing,0.0
P-ANULAR_missing,0.0
ESTADO-XO_missing,0.0
P-JUS-CKGL_missing,0.0
P-MON-CKP_missing,0.0
P-JUS-CKP_missing,0.0
P-MON-CKGL_missing,0.0
P-PDG_missing,0.0
P-TPT_missing,0.0
QGL_missing,0.0
T-JUS-CKP_missing,0.0
T-MON-CKP_missing,0.0
T-PDG_missing,0.0
T-TPT_missing,0.0
ABER-CKGL,0.0
ABER-CKP,0.0
ESTADO-DHSV,0.0
ESTADO-M1,0.0
ESTADO-PXO,0.0
ESTADO-M2,7.122180915563665e-20
ESTADO-SDV-GL,0.0
ESTADO-SDV-P,0.004929748758066388
ESTADO-W1,0.01557617669126098
ESTADO-W2,0.0
P-ANULAR,0.04231025160654412
ESTADO-XO,0.0
P-JUS-CKGL,0.024252520001460588
P-MON-CKP,0.0006009350551442706
P-JUS-CKP,0.0
P-MON-CKGL,0.0
P-PDG,0.0
P-TPT,0.06690594404458801
QGL,0.0
T-JUS-CKP,0.0
T-MON-CKP,0.0
T-PDG,0.0
T-TPT,0.6554072190088108
