feature,importance
ABER-CKGL_missing,0.0
ABER-CKP_missing,5.0733057077149895e-08
ESTADO-DHSV_missing,0.00011272415596392718
ESTADO-M1_missing,0.0
ESTADO-PXO_missing,0.00025146572284010486
ESTADO-M2_missing,0.0
ESTADO-SDV-GL_missing,0.0
ESTADO-SDV-P_missing,0.0
ESTADO-W1_missing,0.0
ESTADO-W2_missing,0.0
P-ANULAR_missing,0.00944798517045638
ESTADO-XO_missing,0.0
P-JUS-CKGL_missing,0.0
P-MON-CKP_missing,0.0
P-JUS-CKP_missing,0.0
P-MON-CKGL_missing,0.0
P-PDG_missing,0.0
P-TPT_missing,0.0
QGL_missing,0.0
T-JUS-CKP_missing,0.0
T-MON-CKP_missing,0.0
T-PDG_missing,0.0
T-TPT_missing,1.076912197223552e-05
ABER-CKGL,0.011853688535992574
ABER-CKP,0.1090289167779983
ESTADO-DHSV,0.0
ESTADO-M1,0.007293330567376182
ESTADO-PXO,0.007074773027387675
ESTADO-M2,0.0
ESTADO-SDV-GL,0.0
ESTADO-SDV-P,0.027425174022340952
ESTADO-W1,0.16077934059924648
ESTADO-W2,0.0
P-ANULAR,0.10455648642498078
ESTADO-XO,0.013332109663272694
P-JUS-CKGL,0.041395045282049424
P-MON-CKP,0.04852972619677132
P-JUS-CKP,0.07754274201244252
P-MON-CKGL,1.0102728052740948e-16
P-PDG,0.0
P-TPT,0.053800500747460386
QGL,0.12729226214962344
T-JUS-CKP,0.0
T-MON-CKP,0.15547469751744697
T-PDG,0.0
T-TPT,0.04479821157132045
