feature,importance
ABER-CKGL,0.0006763452451246724
ABER-CKP,0.015957432240814654
ESTADO-DHSV,0.0
ESTADO-M1,0.0
ESTADO-PXO,0.0
ESTADO-M2,6.419179291423214e-05
ESTADO-SDV-GL,1.8854367556503574e-18
ESTADO-SDV-P,0.0
ESTADO-W1,0.0
ESTADO-W2,0.0
P-ANULAR,0.2482917743435387
ESTADO-XO,0.0
P-JUS-CKGL,0.26715196380258804
P-MON-CKP,0.033044547965697585
P-JUS-CKP,0.0
P-MON-CKGL,0.0
P-PDG,0.0
P-TPT,0.12859192725887789
QGL,0.00924505386677785
T-JUS-CKP,0.08407946620319245
T-MON-CKP,0.0
T-PDG,0.0
T-TPT,0.21289729728047382
