feature,importance
ABER-CKGL,0.13683413246919485
ABER-CKP,0.08454119946378305
ESTADO-DHSV,0.0
ESTADO-M1,0.0
ESTADO-PXO,0.0
ESTADO-M2,0.014808719581356976
ESTADO-SDV-GL,0.0
ESTADO-SDV-P,0.0
ESTADO-W1,0.0
ESTADO-W2,0.002563972166119718
P-ANULAR,0.20809004531585248
ESTADO-XO,0.0
P-JUS-CKGL,0.13052906637413267
P-MON-CKP,0.05492383391544772
P-JUS-CKP,0.0
P-MON-CKGL,0.0
P-PDG,0.0
P-TPT,0.1313107415731943
QGL,0.014151848711182026
T-JUS-CKP,0.07872477957009566
T-MON-CKP,0.0
T-PDG,0.0
T-TPT,0.1435216608596405
