feature,importance
P-MON-CKP,0.09644954151224522
T-TPT,0.0783704430044562
T-JUS-CKP,0.07522645760799258
T-MON-CKP_missing,0.07021481740353477
ESTADO-W1,0.06305518428590891
P-ANULAR,0.05772642948183062
ESTADO-M1,0.046395476874267864
P-JUS-CKGL,0.03802586844572592
P-TPT,0.03795314394748215
QGL,0.03168403261222482
T-MON-CKP,0.02839661006671463
ESTADO-SDV-P_missing,0.028107043139122184
ABER-CKP,0.025780854660040698
ABER-CKGL,0.022940995510054296
QGL_missing,0.020979902544210283
ESTADO-M2,0.019787918343249812
T-PDG,0.019067980244568492
ESTADO-SDV-GL_missing,0.018739337007606164
ESTADO-W2,0.01506332246214803
P-MON-CKP_missing,0.01383063282069708
P-PDG,0.013472142921634345
P-JUS-CKP_missing,0.013275161935854636
ESTADO-XO_missing,0.012634920868642206
T-JUS-CKP_missing,0.012115416419857254
ESTADO-PXO_missing,0.011445204431502081
P-TPT_missing,0.01135275586686069
P-JUS-CKP,0.011118904783697656
ESTADO-W2_missing,0.010871808744870627
ESTADO-SDV-P,0.010445337305040351
ESTADO-W1_missing,0.010353988620568653
T-PDG_missing,0.009455134019646021
ABER-CKGL_missing,0.009264300841128793
ABER-CKP_missing,0.008945622083101333
ESTADO-M1_missing,0.008335468317184808
P-ANULAR_missing,0.00710006181925609
T-TPT_missing,0.006138924276912501
ESTADO-SDV-GL,0.00491401874220432
ESTADO-M2_missing,0.00444861803305522
P-PDG_missing,0.004371858578926074
ESTADO-DHSV_missing,0.0035806040221514402
ESTADO-DHSV,0.002982583010657703
P-JUS-CKGL_missing,0.0029167923806643877
ESTADO-PXO,0.0010983345142552919
ESTADO-XO,0.0009233448171965515
P-MON-CKGL,0.0006427006710501195
P-MON-CKGL_missing,0.0
