feature,importance
probability_label_7,0.12739319560260393
probability_label_8,0.11037427373464402
P-MON-CKP,0.06172884087749144
T-TPT,0.06138367238465272
T-JUS-CKP,0.044174348209724254
T-MON-CKP_missing,0.043596345059787656
ESTADO-M1,0.038924777908102844
probability_label_6,0.03541359606746774
probability_label_2,0.033473321461720065
probability_label_4,0.03052094375963832
probability_label_9,0.027644842664051286
ESTADO-W1,0.02681400726719108
T-MON-CKP,0.022967814776639832
P-ANULAR,0.02183288514295787
P-TPT,0.02042124227161225
QGL,0.019183589671064843
probability_label_5,0.01914651353101296
ESTADO-SDV-P_missing,0.018475796262622027
probability_label_3,0.017000112551061344
P-JUS-CKGL,0.016955467541775432
ABER-CKP,0.013899485437909294
ESTADO-M2,0.0131945893096808
QGL_missing,0.012773932379284304
ABER-CKGL,0.012245313414342561
P-MON-CKP_missing,0.011368811355206516
ESTADO-W2,0.009277865353252715
ESTADO-SDV-GL_missing,0.008397791427324787
P-JUS-CKP_missing,0.007812313391156118
T-PDG,0.007777058237209261
ESTADO-XO_missing,0.007146682277106693
ABER-CKP_missing,0.00712056155040795
T-JUS-CKP_missing,0.006575277220281105
T-PDG_missing,0.006480420736735125
probability_label_1,0.005907671709665758
ESTADO-W1_missing,0.005829683540291353
ESTADO-PXO_missing,0.0057436022347348735
ESTADO-W2_missing,0.005444622696135485
P-JUS-CKP,0.005121034282865275
P-TPT_missing,0.0050749897860515565
ESTADO-SDV-P,0.004982017052413961
ABER-CKGL_missing,0.004885440294260277
P-PDG,0.004787363597098968
ESTADO-M1_missing,0.004475436782415862
ESTADO-SDV-GL,0.004266775770939118
ESTADO-M2_missing,0.004168603735138886
P-ANULAR_missing,0.0040979908797445334
ESTADO-DHSV,0.002838102129665601
ESTADO-DHSV_missing,0.0025348716400579335
P-JUS-CKGL_missing,0.0025300405937896233
T-TPT_missing,0.002172078830557855
P-PDG_missing,0.002135212294345327
ESTADO-XO,0.0005432516115069408
ESTADO-PXO,0.00039404322112569887
P-MON-CKGL_missing,0.0002957507172502547
P-MON-CKGL,0.0002757277642257387
