feature,importance
ABER-CKGL_missing,0.00025394774964788714
ABER-CKP_missing,0.0
ESTADO-DHSV_missing,0.0
ESTADO-M1_missing,0.0
ESTADO-PXO_missing,0.0
ESTADO-M2_missing,0.0
ESTADO-SDV-GL_missing,0.0
ESTADO-SDV-P_missing,0.0
ESTADO-W1_missing,0.0
ESTADO-W2_missing,0.0
P-ANULAR_missing,0.020355811242561677
ESTADO-XO_missing,0.0
P-JUS-CKGL_missing,0.0
P-MON-CKP_missing,0.0
P-JUS-CKP_missing,0.0
P-MON-CKGL_missing,0.0
P-PDG_missing,0.0
P-TPT_missing,0.0
QGL_missing,0.0
T-JUS-CKP_missing,0.0
T-MON-CKP_missing,0.0
T-PDG_missing,0.001815324270229069
T-TPT_missing,0.0018518815039221016
ABER-CKGL,0.0
ABER-CKP,0.17268897239006326
ESTADO-DHSV,0.0
ESTADO-M1,0.0
ESTADO-PXO,0.0
ESTADO-M2,0.0
ESTADO-SDV-GL,0.0
ESTADO-SDV-P,0.0
ESTADO-W1,0.0
ESTADO-W2,0.0
P-ANULAR,0.15618164607579213
ESTADO-XO,0.0
P-JUS-CKGL,0.19579072971801537
P-MON-CKP,0.08913105647682724
P-JUS-CKP,0.0
P-MON-CKGL,0.0
P-PDG,0.0
P-TPT,0.10335453439982148
QGL,0.03272056554135137
T-JUS-CKP,0.17458680981418032
T-MON-CKP,0.0
T-PDG,2.0353332691532407e-05
T-TPT,0.05124836748489638
